kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score,cluster,risk_category
Pasirwangi,2024,43.02670623145401,29,249.74729714027845,86.57599921484116,18.94165234797538,1443,67400,-0.6030605700939314,0.1004330049147055,-0.70199514594552,-1.9635638949447776,0.0434905020187654,1,Sedang
Peundeuy,2024,282.258064516129,70,269.2862662413975,87.17865865247707,23.86453060936565,436,24800,1.622342829737619,1.2219040870607234,-0.0148310337758642,1.272769381803582,-0.7925946308819937,2,Tinggi
Samarang,2024,158.86699507389162,129,221.0970330287605,86.79725943360252,19.86777605898032,1360,81200,0.4745212924003192,-1.5439957533595987,-0.4497099044166752,-1.3547239388934356,-0.0254221752709693,1,Sedang
Selaawi,2024,447.1910112359551,199,241.7230804269876,85.11370032948373,22.972583101346924,1305,44500,3.156599638737433,-0.3601300347347635,-2.3693370185378826,0.6863970914397396,-0.0710872023906732,2,Tinggi
Singajaya,2024,0.0,0,275.54419021575967,88.42146171116968,22.43914566295554,724,49000,-1.0033081756653155,1.5810878666754558,1.4022373917653088,0.3357117319277427,-0.5534759434188172,0,Rendah
Sucinaraja,2024,148.38709677419354,46,274.5430448311657,88.13633957042778,21.618491423875017,916,31000,0.3770340671750843,1.5236254902299238,1.077135534120146,-0.2037918839692795,-0.394063485110033,0,Rendah
Sukaresmi,2024,7.177033492822967,3,244.52601938251905,86.61968299790244,19.15970855716437,1188,41800,-0.9365452109346324,-0.1992507699495473,-0.65218603962625,-1.82021227653595,-0.1682291691725886,1,Sedang
Sukawening,2024,50.25125628140704,30,245.64342779015217,88.11076631113708,21.62418440455167,1536,59700,-0.5358555917888419,-0.1351152871806226,1.0479764022484046,-0.2000492801855871,0.1207059115120828,0,Rendah
Talegong,2024,0.0,0,276.5875067021511,87.91648415957275,20.028445905105134,271,29500,-1.0033081756653155,1.6409707224678391,0.8264520821218959,-1.2490985015020732,-0.9295897122411052,0,Rendah
Tarogong Kaler,2024,175.43859649122808,180,209.51936721281564,87.27079783743322,20.85977387216476,2029,102600,0.628675406640268,-2.208514814940437,0.0902278722537162,-0.7025779050478318,0.5300306091487008,1,Sedang
Tarogong Kidul,2024,65.83333333333334,79,209.2647178653172,87.5708675783355,21.4521255733184,6168,120000,-0.3909063364051452,-2.223130830648783,0.4323732768041749,-0.3131619129813046,3.966531468211503,1,Sedang
Wanaraja,2024,147.05882352941177,75,261.05377571542465,88.15945793301972,21.6100769579171,1447,51000,0.3646780624437765,0.7493868313580743,1.103495544622308,-0.2093236104796115,0.0468115949001984,0,Rendah
